respondent_id,country,trust_people,trust_fairness,trust_helpfulness,political_interest,political_self_efficacy,trust_parliament,trust_legal,trust_police,trust_politicians,trust_parties,trust_eu_parliament,trust_un,voted_last_election,contacted_politician,volunteered,left_right,life_satisfaction,satisfaction_economy,satisfaction_government,satisfaction_democracy,satisfaction_education,satisfaction_health_sys,reduce_inequality,gay_rights,immigration_same_ethnicity,immigration_diff_ethnicity,immigration_poor_countries,happiness,social_meeting_freq,close_confidants,social_activity,crime_victim,feel_safe_dark,self_rated_health,health_hampered,religious_belonging,born_in_country,felt_depressed,felt_everything_effort,sleep_restless,was_happy,felt_lonely,enjoyed_life,felt_sad,could_not_get_going,risk_taking,leadership_preference,competitiveness,gender,age,urbanization,education_level,employment_relation,occupation_code,income_decile,intagea,intgndr,intlnga,trust_institutions
50358.0,AT,0.4,0.6,0.4,1,2,0.3,0.2,0.2,0.2,0.2,0.0,0.1,2,1,2,0.9,0.9,0.2,0.0,0.1,0.2,0.3,0.25,0.75,0.3333333333333333,0.0,0.0,0.8,0.8333333333333334,0.5,4,2,0.6666666666666666,1,3,2,1,2,1,1,3,1,1,3,1,0.5,0.8333333333333334,0.5,1,47.0,4,5.0,1,4312.0,,63.0,2,GER,0.2333333333333333
50363.0,AT,0.7,0.7,0.7,2,3,0.5,0.5,0.8,0.4,0.4,0.5,0.7,1,1,1,0.5,0.8,0.6,0.5,0.6,0.6,0.6,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.8333333333333334,0.5,4,2,0.6666666666666666,1,3,1,1,1,1,2,3,1,3,1,1,0.3333333333333333,0.5,0.8333333333333334,2,50.0,3,3.0,1,3359.0,8.0,76.0,1,GER,0.6
50367.0,AT,1.0,0.9,0.7,1,2,0.0,0.5,0.7,0.0,0.0,0.0,0.4,1,2,2,0.5,0.8,0.2,0.0,0.3,0.7,0.9,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.8,0.5,0.5,2,1,0.6666666666666666,3,2,2,1,1,1,1,3,1,2,2,1,0.0,0.0,1.0,2,60.0,1,4.0,1,4312.0,3.0,48.0,2,GER,0.39999999999999997
50375.0,AT,0.8,0.7,0.7,3,2,0.5,0.7,0.8,0.4,0.2,0.5,0.6,1,2,2,0.5,0.8,0.6,0.5,0.8,0.8,0.9,0.25,0.25,0.6666666666666666,0.3333333333333333,0.0,0.8,0.5,0.3333333333333333,3,2,0.6666666666666666,2,3,1,1,1,1,1,3,1,2,1,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,43.0,4,6.0,1,4224.0,8.0,63.0,2,GER,0.6666666666666666
50380.0,AT,0.5,0.3,0.6,2,3,0.2,0.6,0.8,0.0,0.2,0.4,0.5,1,2,2,0.6,0.8,0.6,0.0,0.2,0.9,0.8,0.0,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8,0.8333333333333334,0.5,4,2,0.6666666666666666,2,3,1,1,1,1,1,3,1,3,1,1,0.3333333333333333,0.16666666666666666,1.0,2,41.0,4,3.0,1,2221.0,8.0,63.0,2,GER,0.5333333333333333
50412.0,AT,0.7,0.9,0.7,4,2,0.5,0.8,0.7,0.3,0.2,0.3,0.5,2,2,2,,0.7,0.7,0.6,0.7,0.7,0.7,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.7,0.5,0.3333333333333333,3,2,1.0,1,3,1,1,1,2,2,3,1,3,1,2,0.16666666666666666,0.3333333333333333,0.6666666666666666,2,35.0,2,4.0,1,5223.0,4.0,47.0,1,GER,0.6666666666666666
50423.0,AT,0.4,0.4,0.4,3,2,0.2,0.4,0.3,0.1,0.2,0.1,0.0,1,1,2,0.5,0.7,0.6,0.2,0.3,0.6,0.7,0.0,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.5,0.5,2,2,1.0,3,2,2,1,1,2,2,3,1,3,1,2,0.8333333333333334,0.5,0.8333333333333334,2,49.0,4,2.0,1,8322.0,2.0,67.0,1,GER,0.30000000000000004
50427.0,AT,0.5,0.7,0.6,3,2,0.0,0.6,0.6,0.0,0.0,0.6,0.6,2,2,2,,0.8,0.7,0.0,0.0,0.8,0.8,0.0,0.0,1.0,0.3333333333333333,0.0,0.8,0.3333333333333333,0.3333333333333333,2,2,0.6666666666666666,2,3,1,1,1,1,1,2,1,2,2,1,0.0,0.5,0.5,2,36.0,4,3.0,1,5141.0,,30.0,1,GER,0.39999999999999997
50433.0,AT,0.8,1.0,0.8,2,2,0.5,0.9,0.9,0.3,0.3,0.4,0.5,1,2,2,0.4,0.8,0.5,0.6,0.5,0.4,0.7,0.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.7,0.5,0.16666666666666666,3,2,0.6666666666666666,1,3,2,1,1,1,1,2,2,2,2,1,0.0,0.5,0.8333333333333334,1,46.0,1,7.0,1,5311.0,3.0,56.0,2,GER,0.7666666666666666
50441.0,AT,0.6,0.6,0.6,2,3,0.8,0.7,0.7,0.8,0.7,0.3,0.3,1,2,2,0.7,0.8,0.8,0.8,0.9,0.8,0.9,0.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.9,0.6666666666666666,0.3333333333333333,3,2,1.0,1,3,1,1,1,1,1,4,1,4,1,1,0.0,0.3333333333333333,0.8333333333333334,2,81.0,4,2.0,6,,2.0,53.0,1,GER,0.7333333333333334
